LONG_EAST,LAT_NORTH,TOPOGRAPHY,MOLA_RANGE,PLANET_RAD,C,A,EMPHEMERIS_TIME,UTC,ORBIT
174.79500,0.54041,-1450.93975,395907.92943,3385332.32775,1.11414,0.00878,10725895.85220,2000-05-04T15:44:41.494,15099.44802
174.80498,0.32716,-1435.84276,395821.00189,3385316.18334,1.11250,0.01076,10687308.24408,2000-05-04T05:01:38.031,15094.71653
174.81501,0.43690,-1444.25219,395842.45085,3385339.49427,1.12016,0.01092,10654673.81029,2000-05-03T19:57:44.972,15089.69996
174.82500,0.05905,-1426.06409,395692.38533,3385354.94234,1.10909,0.01003,10653149.45106,2000-05-03T19:32:15.908,15089.33670
174.83498,0.45813,-1445.00055,395867.50370,3385341.71289,1.11235,0.00981,10774750.40945,2000-05-05T05:18:55.792,15109.36981
174.84500,0.66833,-1458.80704,395961.23002,3385323.23500,1.11302,0.01020,10774436.09336,2000-05-05T05:13:42.895,15106.14161
174.85501,0.29118,-1436.12137,395799.41847,3385353.80731,1.11243,0.00983,10664735.25719,2000-05-03T22:45:23.161,15089.58293
174.86501,0.56777,-1450.60568,395906.02959,3385325.54842,1.11407,0.00929,10684819.28848,2000-05-04T04:20:15.716,15094.95289
174.87500,0.44881,-1444.31569,395865.03575,3385346.16341,1.11501,0.01055,10769603.21480,2000-05-05T03:53:05.520,15105.03868
174.88502,0.48338,-1444.28449,395894.26704,3385317.85562,1.10801,0.01081,10829377.14468,2000-05-05T20:29:35.123,15114.31305
174.89500,0.47409,-1449.51254,395865.35826,3385364.77208,1.11363,0.00846,10594747.72282,2000-05-03T03:18:46.416,15082.53052
174.90499,0.59390,-1453.23364,395941.16485,3385331.31832,1.11536,0.00893,10719158.74337,2000-05-04T13:52:32.032,15101.75725
174.91500,0.67480,-1452.70887,395968.10739,3385329.90099,1.11199,0.00873,10747504.01357,2000-05-04T21:44:56.622,15102.95225
174.92502,0.27084,-1441.90680,395823.58486,3385327.35888,1.11557,0.00928,10724138.50158,2000-05-04T15:15:31.248,15101.07474
174.93501,0.37476,-1446.48654,395848.51065,3385364.45197,1.11288,0.00855,10826059.37299,2000-05-05T19:34:10.581,15111.48896
174.94501,0.58717,-1452.33748,395928.81052,3385338.35546,1.11369,0.00851,10615200.67812,2000-05-03T08:59:51.254,15086.54275
174.95500,0.73760,-1456.40713,395987.18778,3385338.41335,1.11107,0.00752,10669923.30338,2000-05-04T00:11:51.934,15090.82695
174.96500,0.60061,-1452.13532,395921.92305,3385354.83474,1.11437,0.00894,10643077.28698,2000-05-03T16:44:35.849,15087.92339
174.97501,0.49872,-1450.02734,395884.01471,3385341.74480,1.10821,0.00738,10663547.30601,2000-05-03T22:25:30.086,15093.16746
174.98499,0.39151,-1447.09317,395910.83676,3385305.28626,1.11568,0.00944,10676582.78757,2000-05-04T02:02:57.481,15093.53258
174.99500,0.33679,-1452.03318,395845.51654,3385336.50536,1.11266,0.01341,10553752.17709,2000-05-02T15:55:45.797,15075.93436
