LONG_EAST,LAT_NORTH,TOPOGRAPHY,MOLArange,planet_rad,c,A,Ephermis Time,UTC,Orbit
186.43500,0.72640,-2383.75240,389700.81206,3392517.43216,1.26464,0.01689,10866677.13613,2001-02-11T20:18:23.388,15145.04617
186.44502,0.72933,-2403.75420,389703.31764,3392497.46067,1.24774,0.01584,10730667.44082,1999-04-11T08:26:47.009,15128.71192
186.45501,0.71081,-2400.61403,389701.08107,3392493.93477,1.23512,0.01674,10721851.16453,1999-07-29T06:26:10.145,15124.95722
186.46501,0.80508,-2383.52428,389737.08984,3392507.81636,1.28105,0.01669,10870714.41168,1999-06-22T18:56:34.248,15149.28291
186.47501,0.81836,-2381.68567,389742.03700,3392510.50455,1.24248,0.01560,10835672.13100,1999-07-19T12:05:38.820,15141.16153
186.48498,0.93351,-2404.53186,389821.75114,3392485.05526,1.23021,0.01650,10837090.75190,2001-06-16T16:26:53.329,15141.95491
186.49499,0.79811,-2382.72230,389716.73689,3392511.32107,1.24198,0.00221,10704634.46144,2001-01-02T06:14:26.222,15125.98451
186.50503,0.69573,-2359.14620,389660.91168,3392530.01455,1.23335,0.00000,10909010.07950,2001-02-04T15:40:01.312,15155.49472
186.51503,0.55753,-2350.56375,389571.97399,3392535.78569,1.24468,0.00000,10806543.99502,2000-08-10T21:32:50.661,15137.60528
186.52497,0.70238,-2376.23201,389684.98235,3392512.90046,1.24235,0.00000,10931856.97287,1999-10-17T09:52:24.002,15155.65343
186.53501,0.62629,-2379.25949,389639.10845,3392519.72540,1.21502,0.00000,10977207.82352,1999-06-13T00:39:39.982,15161.84835
186.54503,0.78634,-2402.92019,389918.20634,3392499.75000,1.23951,0.00000,10942648.45712,1999-11-10T13:20:19.168,15156.74503
186.55504,0.70426,-2372.47826,389859.08902,3392529.81314,1.25303,0.00956,10804755.64466,2000-05-12T23:45:22.988,15097.46120
186.56502,0.87972,-2368.71076,390008.32011,3392525.27294,1.23855,0.01491,10569736.35050,1999-03-25T09:31:54.228,15065.13164
186.57501,0.81655,-2339.17450,389879.28350,3392560.76950,1.22931,0.00875,10389473.90791,1999-05-12T16:32:55.747,15036.35253
186.58501,0.84608,-2325.40365,389888.12740,3392571.30929,1.24263,0.00000,10140655.95088,1999-11-13T03:02:14.035,14999.34579
186.59506,0.86067,-2329.51838,389906.88546,3392566.89492,1.26679,0.00000,10266154.25298,2000-08-08T07:51:10.660,15019.73430
